id	status	idea	category	impact	evidence	notes
e7a1f2	done	Dual-stream EMA residual (Hyper-Connections ICLR 2025 secondary EMA stream hc_alpha learnable)	architecture	MEDIUM	arxiv 2409.19606 DeepSeek ICLR 2025 multi-stream residuals	exp#118 discard +0.003 MFU drop 82→80%
c9d0e1	done	GEGLU activation (GeLU replacing SiLU in SwiGLU gate)	architecture	LOW	never tested; zero throughput cost; one-line change	killed early; same activation family as SiLU
f6a7b8	pending	Blockwise LR multipliers (per-layer LR scaling linear ramp 0.5x-1.5x across depth)	optimizer	MEDIUM	arxiv 2502.19002 ICML 2025 sharpness disparity; ~2x speedup	compatible with Muon+AdamW groups
b3c4d5	pending	MUD optimizer replacing Muon (Momentum Decorrelation cheaper orthogonalization)	optimizer	HIGH	arxiv 2603.17970 March 2026 10-50% wall-clock speedup over Muon 1.3-2.6x tok/s	DEFERRED: TRSM + torch.compile risk unknown; modest benefit at 200M scale
a2b3c4	done	Nesterov momentum for Muon (look-ahead gradient computation)	optimizer	MEDIUM	different from momentum VALUE (exp#59); Nesterov is different ALGORITHM	val_bpb +0.017; amplifies gradient noise
d5e6f7	pending	Cyclical LR / warm restarts (2-3 mini warmup-decay cycles)	training	MEDIUM	never tried multi-cycle schedule; could escape local minima	risky: less warmdown per cycle
f8a9b0	pending	Sequence packing in dataloader (avoid wasted padding tokens)	throughput	MEDIUM	check prepare.py for waste	only helps if padding significant
c1d2e3	pending	Per-head learned temperature init=1.0 (not 0.2 like failed exp#77)	architecture	LOW	exp#77 init=0.2 too low; 1.0 is near-identity	different from exp#77
a4b5c6	pending	Cosine attention (L2-normalize QK to unit vectors not RMSNorm)	architecture	LOW	removes magnitude info entirely; could improve or hurt	simple to test
fd01c8	done	Parametric QK-norm: learnable per-dim gain on Q and K after RMSNorm (init=1.0)	architecture	MEDIUM	diff from exp#77 scalar temp (init=0.2); per-dim gain allows selective feature emphasis	KILLED: MFU 82→74% torch.compile broken by GPT-level gains
d7ea26	trying	Key offset (k-shift): shift K non-RoPE dims by 1 position for induction heads	architecture	HIGH	modded-nanogpt WR uses this; enables 1-layer induction heads	zero-param; torch.roll on K pass-through dims after RoPE
