C:\AI\TrainRTX5070_60min\train.py:90: UserWarning: expandable_segments not supported on this platform (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\c10/cuda/CUDAAllocatorConfig.h:39.)
  a = torch.randn(n, n, device=device, dtype=dtype)
W0326 09:25:28.553000 33636 .venv\Lib\site-packages\torch\distributed\elastic\multiprocessing\redirects.py:29] NOTE: Redirects are currently not supported in Windows or MacOs.
torch.compile enabled.
Using PyTorch SDPA attention backend.
GPU: NVIDIA GeForce RTX 5070
GPU VRAM: 11.9 GB
GPU CC: 12.0
GPU profile: blackwell-10-15gb
Consumer matrix support: yes
TF32: enabled
AMP dtype: torch.bfloat16
GPU peak FLOPS: 66.0 TFLOPS (torch.bfloat16, measured)
Vocab size: 50,257
Dataset: climbmix
Attention backend: sdpa
torch.compile: enabled
Trying train candidate: batch_size=4, activation_checkpointing=enabled
Model config: {'sequence_len': 2048, 'vocab_size': 50257, 'n_layer': 16, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL', 'short_window': 256, 'attention_backend': 'sdpa', 'use_activation_checkpointing': True, 'compute_dtype': torch.bfloat16}
Parameter counts:
  wte                     : 38,597,376
  value_emb               : 38,597,376
  lm_head                 : 38,597,376
  transformer_matrices    : 113,247,360
  scalars                 : 32
  total                   : 229,039,520
Estimated FLOPs per token: 1.014877e+09
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
MXFP8 cuBLAS training enabled (skipped layers with dims not divisible by 32)
Time budget: 3600s
Gradient accumulation steps: 16

step 00000 (0.0%) | loss: 10.825375 | lrm: 0.00 | dt: 127719ms | tok/sec: 1,026 | mfu: 1.6% | epoch: 1 | remaining: 3600s    
step 00001 (0.0%) | loss: 10.825907 | lrm: 0.00 | dt: 2481ms | tok/sec: 52,825 | mfu: 81.2% | epoch: 1 | remaining: 3600s    
step 00002 (0.0%) | loss: 10.825649 | lrm: 0.00 | dt: 2437ms | tok/sec: 53,789 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00003 (0.0%) | loss: 10.825500 | lrm: 0.00 | dt: 2434ms | tok/sec: 53,860 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00004 (0.0%) | loss: 10.825653 | lrm: 0.00 | dt: 2435ms | tok/sec: 53,838 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00005 (0.0%) | loss: 10.825556 | lrm: 0.00 | dt: 2436ms | tok/sec: 53,807 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00006 (0.0%) | loss: 10.825661 | lrm: 0.00 | dt: 2434ms | tok/sec: 53,855 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00007 (0.0%) | loss: 10.825645 | lrm: 0.00 | dt: 2437ms | tok/sec: 53,788 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00008 (0.0%) | loss: 10.825635 | lrm: 0.00 | dt: 2433ms | tok/sec: 53,874 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00009 (0.0%) | loss: 10.825606 | lrm: 0.00 | dt: 2433ms | tok/sec: 53,877 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00010 (0.0%) | loss: 10.825648 | lrm: 0.00 | dt: 2438ms | tok/sec: 53,758 | mfu: 82.6% | epoch: 1 | remaining: 3600s    
step 00011 (0.0%) | loss: 10.825783 | lrm: 0.00 | dt: 2435ms | tok/sec: 53,830 | mfu: 82.7% | epoch: 1 | remaining: 3598s    
step 00012 (0.1%) | loss: 10.825690 | lrm: 0.01 | dt: 2433ms | tok/sec: 53,877 | mfu: 82.8% | epoch: 1 | remaining: 3595s    
step 00013 (0.1%) | loss: 10.818745 | lrm: 0.03 | dt: 2441ms | tok/sec: 53,704 | mfu: 82.5% | epoch: 1 | remaining: 3593s    
step 00014 (0.2%) | loss: 10.807785 | lrm: 0.04 | dt: 2440ms | tok/sec: 53,715 | mfu: 82.5% | epoch: 1 | remaining: 3590s    
step 00015 (0.3%) | loss: 10.791496 | lrm: 0.05 | dt: 2439ms | tok/sec: 53,742 | mfu: 82.6% | epoch: 1 | remaining: 3588s    
step 00016 (0.3%) | loss: 10.759168 | lrm: 0.07 | dt: 2438ms | tok/sec: 53,757 | mfu: 82.6% | epoch: 1 | remaining: 3585s    
step 00017 (0.4%) | loss: 10.705349 | lrm: 0.08 | dt: 2456ms | tok/sec: 53,367 | mfu: 82.0% | epoch: 1 | remaining: 3583s    
step 00018 (0.5%) | loss: 10.633051 | lrm: 0.09 | dt: 2477ms | tok/sec: 52,923 | mfu: 81.3% | epoch: 1 | remaining: 3580s    
step 00019 (0.5%) | loss: 10.537039 | lrm: 0.11 | dt: 2474ms | tok/sec: 52,980 | mfu: 81.4% | epoch: 1 | remaining: 3578s    
step 00020 (0.6%) | loss: 10.410185 | lrm: 0.12 | dt: 2459ms | tok/sec: 53,293 | mfu: 81.9% | epoch: 1 | remaining: 3576s    
step 00021 (0.7%) | loss: 10.265240 | lrm: 0.14 | dt: 2467ms | tok/sec: 53,130 | mfu: 81.6% | epoch: 1 | remaining: 3573s    
step 00022 (0.7%) | loss: 10.104853 | lrm: 0.15 | dt: 2430ms | tok/sec: 53,931 | mfu: 82.9% | epoch: 1 | remaining: 3571s    
step 00023 (0.8%) | loss: 9.932844 | lrm: 0.16 | dt: 2428ms | tok/sec: 53,993 | mfu: 83.0% | epoch: 1 | remaining: 3568s    
step 00024 (0.9%) | loss: 9.758039 | lrm: 0.18 | dt: 2548ms | tok/sec: 51,445 | mfu: 79.1% | epoch: 1 | remaining: 3566s    
step 00025 (1.0%) | loss: 9.568308 | lrm: 0.19 | dt: 2437ms | tok/sec: 53,793 | mfu: 82.7% | epoch: 1 | remaining: 3563s    
step 00026 (1.0%) | loss: 9.383656 | lrm: 0.20 | dt: 2445ms | tok/sec: 53,614 | mfu: 82.4% | epoch: 1 | remaining: 3561s    
step 00027 (1.1%) | loss: 9.177205 | lrm: 0.22 | dt: 2449ms | tok/sec: 53,528 | mfu: 82.3% | epoch: 1 | remaining: 3558s    
step 00028 (1.2%) | loss: 9.023103 | lrm: 0.23 | dt: 2464ms | tok/sec: 53,190 | mfu: 81.7% | epoch: 1 | remaining: 3556s    
step 00029 (1.2%) | loss: 8.837477 | lrm: 0.25 | dt: 2491ms | tok/sec: 52,611 | mfu: 80.8% | epoch: 1 | remaining: 3553s    
step 00030 (1.3%) | loss: 8.703597 | lrm: 0.26 | dt: 2454ms | tok/sec: 53,408 | mfu: 82.1% | epoch: 1 | remaining: 3551s    
step 00031 (1.4%) | loss: 8.518965 | lrm: 0.27 | dt: 2489ms | tok/sec: 52,666 | mfu: 80.9% | epoch: 1 | remaining: 3548s    
step 00032 (1.4%) | loss: 8.407664 | lrm: 0.29 | dt: 2447ms | tok/sec: 53,556 | mfu: 82.3% | epoch: 1 | remaining: 3546s    
step 00033 (1.5%) | loss: 8.234394 | lrm: 0.30 | dt: 2429ms | tok/sec: 53,969 | mfu: 82.9% | epoch: 1 | remaining: 3544s    
step 00034 (1.6%) | loss: 8.124561 | lrm: 0.31 | dt: 2441ms | tok/sec: 53,689 | mfu: 82.5% | epoch: 1 | remaining: 3541s    
step 00035 (1.6%) | loss: 8.081158 | lrm: 0.33 | dt: 2519ms | tok/sec: 52,038 | mfu: 80.0% | epoch: 1 | remaining: 3539s    
step 00036 (1.7%) | loss: 7.903686 | lrm: 0.34 | dt: 2440ms | tok/sec: 53,717 | mfu: 82.5% | epoch: 1 | remaining: 3536s    
step 00037 (1.8%) | loss: 7.786927 | lrm: 0.35 | dt: 2497ms | tok/sec: 52,495 | mfu: 80.7% | epoch: 1 | remaining: 3534s    
step 00038 (1.8%) | loss: 7.649373 | lrm: 0.37 | dt: 2496ms | tok/sec: 52,511 | mfu: 80.7% | epoch: 1 | remaining: 3531s    
step 00039 (1.9%) | loss: 7.481057 | lrm: 0.38 | dt: 2432ms | tok/sec: 53,897 | mfu: 82.8% | epoch: 1 | remaining: 3529s    
step 00040 (2.0%) | loss: 7.359956 | lrm: 0.40 | dt: 2458ms | tok/sec: 53,326 | mfu: 81.9% | epoch: 1 | remaining: 3526s    
step 00041 (2.0%) | loss: 7.238247 | lrm: 0.41 | dt: 2446ms | tok/sec: 53,589 | mfu: 82.3% | epoch: 1 | remaining: 3524s    
step 00042 (2.1%) | loss: 7.182395 | lrm: 0.42 | dt: 2458ms | tok/sec: 53,318 | mfu: 81.9% | epoch: 1 | remaining: 3521s    
step 00043 (2.2%) | loss: 7.027101 | lrm: 0.44 | dt: 2459ms | tok/sec: 53,303 | mfu: 81.9% | epoch: 1 | remaining: 3519s    
step 00044 (2.3%) | loss: 6.920963 | lrm: 0.45 | dt: 2494ms | tok/sec: 52,557 | mfu: 80.8% | epoch: 1 | remaining: 3516s    
step 00045 (2.3%) | loss: 6.834724 | lrm: 0.46 | dt: 2469ms | tok/sec: 53,090 | mfu: 81.6% | epoch: 1 | remaining: 3514s    
step 00046 (2.4%) | loss: 6.733743 | lrm: 0.48 | dt: 2469ms | tok/sec: 53,082 | mfu: 81.6% | epoch: 1 | remaining: 3511s    
step 00047 (2.5%) | loss: 6.599366 | lrm: 0.49 | dt: 2429ms | tok/sec: 53,960 | mfu: 82.9% | epoch: 1 | remaining: 3509s    
step 00048 (2.5%) | loss: 6.487326 | lrm: 0.51 | dt: 2458ms | tok/sec: 53,325 | mfu: 81.9% | epoch: 1 | remaining: 3507s    
step 00049 (2.6%) | loss: 6.456102 | lrm: 0.52 | dt: 2430ms | tok/sec: 53,930 | mfu: 82.9% | epoch: 1 | remaining: 3504s    
step 00050 (2.7%) | loss: 6.321976 | lrm: 0.53 | dt: 2456ms | tok/sec: 53,363 | mfu: 82.0% | epoch: 1 | remaining: 3502s    
step 00051 (2.7%) | loss: 6.291876 | lrm: 0.55 | dt: 2455ms | tok/sec: 53,389 | mfu: 82.0% | epoch: 1 | remaining: 3499s    
step 00052 (2.8%) | loss: 6.228356 | lrm: 0.56 | dt: 2459ms | tok/sec: 53,305 | mfu: 81.9% | epoch: 1 | remaining: 3497s    
step 00053 (2.9%) | loss: 6.121771 | lrm: 0.57 | dt: 2490ms | tok/sec: 52,636 | mfu: 80.9% | epoch: 1 | remaining: 3494s    
step 00054 (2.9%) | loss: 6.067315 | lrm: 0.59 | dt: 2444ms | tok/sec: 53,627 | mfu: 82.4% | epoch: 1 | remaining: 3492s    
step 00055 (3.0%) | loss: 6.003103 | lrm: 0.60 | dt: 2447ms | tok/sec: 53,568 | mfu: 82.3% | epoch: 1 | remaining: 3489s    
step 00056 (3.1%) | loss: 5.889435 | lrm: 0.61 | dt: 2432ms | tok/sec: 53,905 | mfu: 82.8% | epoch: 1 | remaining: 3487s    
step 00057 (3.1%) | loss: 5.833046 | lrm: 0.63 | dt: 2433ms | tok/sec: 53,866 | mfu: 82.8% | epoch: 1 | remaining: 3485s    
step 00058 (3.2%) | loss: 5.799986 | lrm: 0.64 | dt: 2431ms | tok/sec: 53,921 | mfu: 82.9% | epoch: 1 | remaining: 3482s    
step 00059 (3.3%) | loss: 5.736420 | lrm: 0.66 | dt: 2437ms | tok/sec: 53,777 | mfu: 82.6% | epoch: 1 | remaining: 3480s    
step 00060 (3.3%) | loss: 5.661850 | lrm: 0.67 | dt: 2474ms | tok/sec: 52,977 | mfu: 81.4% | epoch: 1 | remaining: 3477s    
step 00061 (3.4%) | loss: 5.601856 | lrm: 0.68 | dt: 2515ms | tok/sec: 52,111 | mfu: 80.1% | epoch: 1 | remaining: 3475s    
step 00062 (3.5%) | loss: 5.596826 | lrm: 0.70 | dt: 2449ms | tok/sec: 53,522 | mfu: 82.2% | epoch: 1 | remaining: 3472s    
step 00063 (3.5%) | loss: 5.570795 | lrm: 0.71 | dt: 2496ms | tok/sec: 52,513 | mfu: 80.7% | epoch: 1 | remaining: 3470s    
step 00064 (3.6%) | loss: 5.536333 | lrm: 0.72 | dt: 2478ms | tok/sec: 52,903 | mfu: 81.3% | epoch: 1 | remaining: 3467s    
step 00065 (3.7%) | loss: 5.550678 | lrm: 0.74 | dt: 2475ms | tok/sec: 52,951 | mfu: 81.4% | epoch: 1 | remaining: 3465s    
step 00066 (3.8%) | loss: 5.489241 | lrm: 0.75 | dt: 2516ms | tok/sec: 52,097 | mfu: 80.1% | epoch: 1 | remaining: 3462s    
step 00067 (3.8%) | loss: 5.456870 | lrm: 0.77 | dt: 2507ms | tok/sec: 52,275 | mfu: 80.3% | epoch: 1 | remaining: 3460s    
step 00068 (3.9%) | loss: 5.470954 | lrm: 0.78 | dt: 2442ms | tok/sec: 53,677 | mfu: 82.5% | epoch: 1 | remaining: 3457s    
step 00069 (4.0%) | loss: 5.420231 | lrm: 0.79 | dt: 2444ms | tok/sec: 53,632 | mfu: 82.4% | epoch: 1 | remaining: 3455s    
step 00070 (4.0%) | loss: 5.426268 | lrm: 0.81 | dt: 2432ms | tok/sec: 53,892 | mfu: 82.8% | epoch: 1 | remaining: 3452s    
step 00071 (4.1%) | loss: 5.399387 | lrm: 0.82 | dt: 2446ms | tok/sec: 53,591 | mfu: 82.4% | epoch: 1 | remaining: 3450s    
step 00072 (4.2%) | loss: 5.261776 | lrm: 0.83 | dt: 2462ms | tok/sec: 53,228 | mfu: 81.8% | epoch: 1 | remaining: 3448s    
