C:\AI\TrainRTX5070_60min\train.py:90: UserWarning: expandable_segments not supported on this platform (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\c10/cuda/CUDAAllocatorConfig.h:39.)
  a = torch.randn(n, n, device=device, dtype=dtype)
W0326 10:36:47.636000 22716 .venv\Lib\site-packages\torch\distributed\elastic\multiprocessing\redirects.py:29] NOTE: Redirects are currently not supported in Windows or MacOs.
torch.compile enabled.
Using PyTorch SDPA attention backend.
GPU: NVIDIA GeForce RTX 5070
GPU VRAM: 11.9 GB
GPU CC: 12.0
GPU profile: blackwell-10-15gb
Consumer matrix support: yes
TF32: enabled
AMP dtype: torch.bfloat16
GPU peak FLOPS: 64.6 TFLOPS (torch.bfloat16, measured)
Vocab size: 50,257
Dataset: climbmix
Attention backend: sdpa
torch.compile: enabled
Trying train candidate: batch_size=4, activation_checkpointing=enabled
Model config: {'sequence_len': 2048, 'vocab_size': 50257, 'n_layer': 16, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL', 'short_window': 256, 'attention_backend': 'sdpa', 'use_activation_checkpointing': True, 'compute_dtype': torch.bfloat16}
Parameter counts:
  wte                     : 38,597,376
  value_emb               : 38,597,376
  lm_head                 : 38,597,376
  transformer_matrices    : 113,247,360
  scalars                 : 32
  total                   : 229,039,520
Estimated FLOPs per token: 1.014877e+09
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
MXFP8 cuBLAS training enabled (skipped layers with dims not divisible by 32)
Time budget: 3600s
Gradient accumulation steps: 16

step 00000 (0.0%) | loss: 10.825375 | lrm: 0.00 | dt: 133431ms | tok/sec: 982 | mfu: 1.5% | epoch: 1 | remaining: 3600s    
step 00001 (0.0%) | loss: 10.825907 | lrm: 0.00 | dt: 2544ms | tok/sec: 51,526 | mfu: 80.9% | epoch: 1 | remaining: 3600s    
step 00002 (0.0%) | loss: 10.825649 | lrm: 0.00 | dt: 2486ms | tok/sec: 52,723 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00003 (0.0%) | loss: 10.825500 | lrm: 0.00 | dt: 2490ms | tok/sec: 52,644 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00004 (0.0%) | loss: 10.825653 | lrm: 0.00 | dt: 2484ms | tok/sec: 52,757 | mfu: 82.9% | epoch: 1 | remaining: 3600s    
step 00005 (0.0%) | loss: 10.825556 | lrm: 0.00 | dt: 2489ms | tok/sec: 52,654 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00006 (0.0%) | loss: 10.825661 | lrm: 0.00 | dt: 2486ms | tok/sec: 52,725 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00007 (0.0%) | loss: 10.825645 | lrm: 0.00 | dt: 2487ms | tok/sec: 52,703 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00008 (0.0%) | loss: 10.825635 | lrm: 0.00 | dt: 2487ms | tok/sec: 52,710 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00009 (0.0%) | loss: 10.825606 | lrm: 0.00 | dt: 2479ms | tok/sec: 52,862 | mfu: 83.0% | epoch: 1 | remaining: 3600s    
step 00010 (0.0%) | loss: 10.825648 | lrm: 0.00 | dt: 2483ms | tok/sec: 52,784 | mfu: 82.9% | epoch: 1 | remaining: 3600s    
step 00011 (0.0%) | loss: 10.825783 | lrm: 0.00 | dt: 2482ms | tok/sec: 52,810 | mfu: 83.0% | epoch: 1 | remaining: 3598s    
step 00012 (0.1%) | loss: 10.825690 | lrm: 0.01 | dt: 2480ms | tok/sec: 52,847 | mfu: 83.0% | epoch: 1 | remaining: 3595s    
step 00013 (0.1%) | loss: 10.818749 | lrm: 0.03 | dt: 2491ms | tok/sec: 52,612 | mfu: 82.6% | epoch: 1 | remaining: 3593s    
step 00014 (0.2%) | loss: 10.807784 | lrm: 0.04 | dt: 2493ms | tok/sec: 52,578 | mfu: 82.6% | epoch: 1 | remaining: 3590s    
step 00015 (0.3%) | loss: 10.791155 | lrm: 0.06 | dt: 2492ms | tok/sec: 52,587 | mfu: 82.6% | epoch: 1 | remaining: 3588s    
step 00016 (0.3%) | loss: 10.758229 | lrm: 0.07 | dt: 2489ms | tok/sec: 52,656 | mfu: 82.7% | epoch: 1 | remaining: 3585s    
step 00017 (0.4%) | loss: 10.703386 | lrm: 0.08 | dt: 2490ms | tok/sec: 52,635 | mfu: 82.7% | epoch: 1 | remaining: 3583s    
step 00018 (0.5%) | loss: 10.629022 | lrm: 0.10 | dt: 2488ms | tok/sec: 52,679 | mfu: 82.7% | epoch: 1 | remaining: 3580s    
step 00019 (0.6%) | loss: 10.531429 | lrm: 0.11 | dt: 2488ms | tok/sec: 52,672 | mfu: 82.7% | epoch: 1 | remaining: 3578s    
step 00020 (0.6%) | loss: 10.402809 | lrm: 0.12 | dt: 2486ms | tok/sec: 52,717 | mfu: 82.8% | epoch: 1 | remaining: 3575s    
step 00021 (0.7%) | loss: 10.255927 | lrm: 0.14 | dt: 2491ms | tok/sec: 52,614 | mfu: 82.6% | epoch: 1 | remaining: 3573s    
step 00022 (0.8%) | loss: 10.093844 | lrm: 0.15 | dt: 2486ms | tok/sec: 52,718 | mfu: 82.8% | epoch: 1 | remaining: 3570s    
step 00023 (0.8%) | loss: 9.920495 | lrm: 0.17 | dt: 2488ms | tok/sec: 52,688 | mfu: 82.8% | epoch: 1 | remaining: 3568s    
step 00024 (0.9%) | loss: 9.744669 | lrm: 0.18 | dt: 2492ms | tok/sec: 52,604 | mfu: 82.6% | epoch: 1 | remaining: 3565s    
step 00025 (1.0%) | loss: 9.553961 | lrm: 0.19 | dt: 2493ms | tok/sec: 52,584 | mfu: 82.6% | epoch: 1 | remaining: 3563s    
step 00026 (1.0%) | loss: 9.368728 | lrm: 0.21 | dt: 2494ms | tok/sec: 52,551 | mfu: 82.5% | epoch: 1 | remaining: 3560s    
step 00027 (1.1%) | loss: 9.161517 | lrm: 0.22 | dt: 2493ms | tok/sec: 52,577 | mfu: 82.6% | epoch: 1 | remaining: 3558s    
step 00028 (1.2%) | loss: 9.007374 | lrm: 0.24 | dt: 2487ms | tok/sec: 52,706 | mfu: 82.8% | epoch: 1 | remaining: 3555s    
step 00029 (1.2%) | loss: 8.821864 | lrm: 0.25 | dt: 2493ms | tok/sec: 52,574 | mfu: 82.6% | epoch: 1 | remaining: 3553s    
step 00030 (1.3%) | loss: 8.683659 | lrm: 0.26 | dt: 2494ms | tok/sec: 52,555 | mfu: 82.6% | epoch: 1 | remaining: 3550s    
step 00031 (1.4%) | loss: 8.505875 | lrm: 0.28 | dt: 2487ms | tok/sec: 52,712 | mfu: 82.8% | epoch: 1 | remaining: 3548s    
step 00032 (1.5%) | loss: 8.385858 | lrm: 0.29 | dt: 2493ms | tok/sec: 52,571 | mfu: 82.6% | epoch: 1 | remaining: 3545s    
step 00033 (1.5%) | loss: 8.220714 | lrm: 0.30 | dt: 2496ms | tok/sec: 52,520 | mfu: 82.5% | epoch: 1 | remaining: 3543s    
step 00034 (1.6%) | loss: 8.114158 | lrm: 0.32 | dt: 2502ms | tok/sec: 52,397 | mfu: 82.3% | epoch: 1 | remaining: 3540s    
step 00035 (1.7%) | loss: 8.069539 | lrm: 0.33 | dt: 2500ms | tok/sec: 52,432 | mfu: 82.4% | epoch: 1 | remaining: 3538s    
step 00036 (1.7%) | loss: 7.894432 | lrm: 0.35 | dt: 2495ms | tok/sec: 52,542 | mfu: 82.5% | epoch: 1 | remaining: 3535s    
step 00037 (1.8%) | loss: 7.778729 | lrm: 0.36 | dt: 2498ms | tok/sec: 52,469 | mfu: 82.4% | epoch: 1 | remaining: 3533s    
step 00038 (1.9%) | loss: 7.640645 | lrm: 0.37 | dt: 2501ms | tok/sec: 52,411 | mfu: 82.3% | epoch: 1 | remaining: 3530s    
step 00039 (1.9%) | loss: 7.470993 | lrm: 0.39 | dt: 2496ms | tok/sec: 52,509 | mfu: 82.5% | epoch: 1 | remaining: 3528s    
step 00040 (2.0%) | loss: 7.346841 | lrm: 0.40 | dt: 2498ms | tok/sec: 52,462 | mfu: 82.4% | epoch: 1 | remaining: 3525s    
step 00041 (2.1%) | loss: 7.226157 | lrm: 0.42 | dt: 2494ms | tok/sec: 52,554 | mfu: 82.6% | epoch: 1 | remaining: 3523s    
step 00042 (2.1%) | loss: 7.172319 | lrm: 0.43 | dt: 2494ms | tok/sec: 52,558 | mfu: 82.6% | epoch: 1 | remaining: 3520s    
step 00043 (2.2%) | loss: 7.018794 | lrm: 0.44 | dt: 2493ms | tok/sec: 52,581 | mfu: 82.6% | epoch: 1 | remaining: 3518s    
step 00044 (2.3%) | loss: 6.915670 | lrm: 0.46 | dt: 2490ms | tok/sec: 52,645 | mfu: 82.7% | epoch: 1 | remaining: 3515s    
step 00045 (2.4%) | loss: 6.829899 | lrm: 0.47 | dt: 2491ms | tok/sec: 52,613 | mfu: 82.6% | epoch: 1 | remaining: 3513s    
step 00046 (2.4%) | loss: 6.726627 | lrm: 0.48 | dt: 2492ms | tok/sec: 52,601 | mfu: 82.6% | epoch: 1 | remaining: 3510s    
step 00047 (2.5%) | loss: 6.592227 | lrm: 0.50 | dt: 2491ms | tok/sec: 52,615 | mfu: 82.6% | epoch: 1 | remaining: 3508s    
step 00048 (2.6%) | loss: 6.481324 | lrm: 0.51 | dt: 2492ms | tok/sec: 52,590 | mfu: 82.6% | epoch: 1 | remaining: 3505s    
step 00049 (2.6%) | loss: 6.450316 | lrm: 0.53 | dt: 2497ms | tok/sec: 52,481 | mfu: 82.4% | epoch: 1 | remaining: 3503s    
step 00050 (2.7%) | loss: 6.318367 | lrm: 0.54 | dt: 2497ms | tok/sec: 52,496 | mfu: 82.5% | epoch: 1 | remaining: 3500s    
step 00051 (2.8%) | loss: 6.288494 | lrm: 0.55 | dt: 2492ms | tok/sec: 52,606 | mfu: 82.6% | epoch: 1 | remaining: 3498s    
step 00052 (2.8%) | loss: 6.225005 | lrm: 0.57 | dt: 2499ms | tok/sec: 52,448 | mfu: 82.4% | epoch: 1 | remaining: 3495s    
step 00053 (2.9%) | loss: 6.117614 | lrm: 0.58 | dt: 2496ms | tok/sec: 52,509 | mfu: 82.5% | epoch: 1 | remaining: 3493s    
step 00054 (3.0%) | loss: 6.063484 | lrm: 0.60 | dt: 2494ms | tok/sec: 52,548 | mfu: 82.5% | epoch: 1 | remaining: 3490s    
step 00055 (3.0%) | loss: 6.001325 | lrm: 0.61 | dt: 2497ms | tok/sec: 52,487 | mfu: 82.4% | epoch: 1 | remaining: 3488s    
step 00056 (3.1%) | loss: 5.891049 | lrm: 0.62 | dt: 2495ms | tok/sec: 52,534 | mfu: 82.5% | epoch: 1 | remaining: 3485s    
step 00057 (3.2%) | loss: 5.834340 | lrm: 0.64 | dt: 2496ms | tok/sec: 52,514 | mfu: 82.5% | epoch: 1 | remaining: 3483s    
step 00058 (3.3%) | loss: 5.799275 | lrm: 0.65 | dt: 2494ms | tok/sec: 52,545 | mfu: 82.5% | epoch: 1 | remaining: 3480s    
step 00059 (3.3%) | loss: 5.736763 | lrm: 0.66 | dt: 2494ms | tok/sec: 52,554 | mfu: 82.6% | epoch: 1 | remaining: 3478s    
step 00060 (3.4%) | loss: 5.663054 | lrm: 0.68 | dt: 2496ms | tok/sec: 52,517 | mfu: 82.5% | epoch: 1 | remaining: 3475s    
step 00061 (3.5%) | loss: 5.602788 | lrm: 0.69 | dt: 2491ms | tok/sec: 52,608 | mfu: 82.6% | epoch: 1 | remaining: 3473s    
step 00062 (3.5%) | loss: 5.596842 | lrm: 0.71 | dt: 2491ms | tok/sec: 52,621 | mfu: 82.7% | epoch: 1 | remaining: 3470s    
step 00063 (3.6%) | loss: 5.574267 | lrm: 0.72 | dt: 2486ms | tok/sec: 52,730 | mfu: 82.8% | epoch: 1 | remaining: 3468s    
step 00064 (3.7%) | loss: 5.541140 | lrm: 0.73 | dt: 2491ms | tok/sec: 52,613 | mfu: 82.6% | epoch: 1 | remaining: 3465s    
step 00065 (3.7%) | loss: 5.557673 | lrm: 0.75 | dt: 2495ms | tok/sec: 52,534 | mfu: 82.5% | epoch: 1 | remaining: 3463s    
step 00066 (3.8%) | loss: 5.499326 | lrm: 0.76 | dt: 2493ms | tok/sec: 52,575 | mfu: 82.6% | epoch: 1 | remaining: 3460s    
step 00067 (3.9%) | loss: 5.464819 | lrm: 0.78 | dt: 2489ms | tok/sec: 52,653 | mfu: 82.7% | epoch: 1 | remaining: 3458s    
step 00068 (3.9%) | loss: 5.476008 | lrm: 0.79 | dt: 2497ms | tok/sec: 52,495 | mfu: 82.5% | epoch: 1 | remaining: 3455s    
step 00069 (4.0%) | loss: 5.425115 | lrm: 0.80 | dt: 2489ms | tok/sec: 52,653 | mfu: 82.7% | epoch: 1 | remaining: 3453s    
step 00070 (4.1%) | loss: 5.430015 | lrm: 0.82 | dt: 2493ms | tok/sec: 52,578 | mfu: 82.6% | epoch: 1 | remaining: 3450s    
step 00071 (4.2%) | loss: 5.400938 | lrm: 0.83 | dt: 2490ms | tok/sec: 52,637 | mfu: 82.7% | epoch: 1 | remaining: 3448s    
step 00072 (4.2%) | loss: 5.263750 | lrm: 0.84 | dt: 2491ms | tok/sec: 52,625 | mfu: 82.7% | epoch: 1 | remaining: 3445s    
